sample_name	ASV1	ASV2	ASV3	ASV4	ASV5	ASV6	ASV7	ASV8	ASV9	ASV10	ASV11	ASV12	ASV13	ASV14	ASV15	ASV16	ASV17	ASV18	ASV19	ASV20	ASV22	ASV23	ASV24	ASV25	ASV26	ASV27	ASV28	ASV29	ASV30	ASV31	ASV33	ASV34	ASV35	ASV37	ASV38	ASV39	ASV40	ASV41	ASV42	ASV43	ASV45	ASV46	ASV47	ASV48	ASV50	ASV52	ASV53	ASV55	ASV56	ASV57	ASV58	ASV59	ASV60	ASV61	ASV63	ASV66	ASV67	ASV70	ASV74	ASV88	ASV97	ASV121	ASV123	ASV128
D1	7490	12674	897	2087	3530	2516	273	199	1530	786	115	639	812	1058	387	874	139	313	124	287	0	63	45	0	257	656	0	90	71	73	26	0	28	57	72	201	0	0	77	117	0	172	88	128	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	27	0	0	0
C3	15982	2834	5434	2182	26	1373	3043	1042	533	580	0	88	273	0	313	23	263	40	472	501	114	115	577	0	0	0	0	51	0	62	45	0	0	62	111	0	0	0	13	0	0	0	0	0	0	0	0	108	44	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0
C2	12684	4514	562	2609	2435	920	1362	1353	865	776	240	70	94	249	597	3	274	725	650	624	66	340	320	0	8	0	0	0	120	148	108	275	90	86	117	0	0	127	30	0	2	0	0	0	0	57	82	275	89	56	0	0	0	115	0	0	0	0	0	0	10	0	0	0
C1	10707	11945	209	1337	5812	4547	85	744	550	358	4841	971	217	1397	394	744	403	456	112	327	0	58	0	0	11	560	310	0	0	0	0	0	0	68	0	0	0	0	237	8	0	106	0	0	322	0	0	0	0	0	0	250	0	0	136	0	0	0	82	0	0	0	0	0
B3	15493	5608	5088	3435	927	978	1236	532	2083	934	0	427	403	268	299	0	206	144	363	356	1819	196	556	0	0	0	0	72	224	105	93	0	0	69	92	0	0	0	25	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N3	11636	3681	7858	4205	2211	659	726	2661	994	1063	17	408	276	0	201	49	537	173	116	638	0	181	327	0	0	0	0	73	532	181	123	0	0	69	85	0	0	0	78	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0
N2	17400	4468	205	2479	2106	781	1505	3911	273	1410	1942	536	253	45	326	298	262	561	130	0	418	1108	261	0	0	0	1694	385	287	263	178	661	0	135	223	0	39	58	91	0	0	123	0	0	0	54	0	0	0	21	0	0	62	0	0	0	0	0	0	0	0	0	0	0
B2	10774	6657	6717	3069	4433	475	929	702	1421	511	142	582	264	0	659	0	193	541	168	61	526	155	443	0	8	240	0	0	115	68	73	485	229	50	84	0	0	354	23	208	0	0	672	0	0	76	0	0	0	25	0	0	0	0	4	0	114	0	0	0	0	0	0	0
N1	12366	5248	110	1357	3334	1712	558	875	1375	713	5014	1564	839	161	123	326	84	416	176	278	0	157	139	524	54	374	1076	105	91	48	65	0	0	82	81	0	0	0	241	8	0	107	0	0	54	25	0	0	101	17	0	0	0	0	0	0	0	103	0	0	2	0	0	0
M3	17672	4774	9565	6841	368	389	856	344	1881	1377	0	527	512	0	182	0	328	238	306	0	1435	95	123	61	0	0	0	0	250	76	0	0	0	59	81	0	0	0	58	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M2	21065	8781	82	3412	3640	683	930	2310	246	1407	960	489	310	361	400	1702	568	1078	60	0	0	476	267	0	440	0	82	304	353	224	240	254	0	113	86	814	229	0	56	460	0	67	310	110	0	133	68	0	0	0	0	0	48	0	0	117	0	0	17	0	0	0	0	0
M1	14059	4880	0	2248	2083	1526	435	1038	256	412	2389	1928	422	851	120	363	145	599	62	0	131	220	87	827	2024	150	53	184	212	0	72	0	0	68	0	0	0	0	108	192	60	92	0	49	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0
L3	18279	4623	14545	6918	577	389	1084	1352	0	971	12	3096	146	0	172	1430	382	225	154	78	45	170	272	0	0	0	0	0	196	74	0	0	0	72	58	0	0	0	80	18	0	0	0	0	0	0	89	0	0	259	0	0	62	0	0	0	0	0	0	0	0	0	0	0
L2	12567	3170	36	3251	1598	637	941	3592	381	1202	299	186	82	76	482	130	238	491	146	0	0	311	155	0	135	0	80	211	397	306	412	319	0	93	68	0	150	160	28	0	17	57	0	0	0	241	0	0	63	22	0	0	65	0	0	101	0	0	35	23	0	0	0	0
L1	9147	12014	820	977	2134	785	175	272	1294	1057	2663	946	868	0	103	217	86	268	241	0	0	284	75	797	1718	0	27	0	138	0	103	0	0	136	65	0	0	0	113	169	3230	73	64	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0
K3	21585	7962	3226	6510	2329	1698	1729	449	2655	1482	0	1093	851	0	397	0	434	196	177	598	986	384	181	0	0	0	0	233	0	224	151	0	0	206	141	0	0	0	39	0	0	155	66	0	0	0	0	0	131	0	259	0	0	0	0	0	0	0	0	0	0	0	0	0
K2	15009	7157	109	3934	2289	658	1738	473	1576	1438	31	118	0	175	399	0	362	419	264	0	0	408	200	0	30	65	83	101	256	190	136	246	174	131	153	0	0	251	7	0	4	0	0	0	0	76	86	0	0	124	0	0	60	0	0	64	0	0	0	0	0	0	0	0
K1	12464	12651	1432	1894	6605	1948	338	390	2650	864	1040	952	763	1780	240	658	345	252	268	292	0	300	67	779	1138	291	20	114	42	57	64	14	0	160	78	2184	0	0	73	372	0	130	0	149	0	0	0	0	0	23	0	0	0	0	5	0	0	0	0	28	37	0	19	0
B1	9867	16500	1078	3299	3684	2415	448	433	769	617	800	803	798	4304	829	942	192	539	183	558	77	53	148	0	159	0	341	79	161	53	54	0	653	80	0	0	0	0	203	154	0	328	0	108	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0
J3	17536	10919	8077	6634	1714	917	1390	551	1381	1528	0	1646	2624	149	2992	0	341	285	144	835	1666	157	159	0	0	0	0	107	0	125	74	0	0	112	91	0	0	0	23	0	0	109	73	19	0	0	95	0	83	0	25	0	17	0	0	0	0	0	0	0	0	0	0	5
J2	13384	1535	205	2289	3234	800	1430	209	61	680	2098	117	109	100	282	188	262	433	151	150	0	471	108	0	0	319	0	86	335	141	199	79	0	59	156	0	608	159	157	0	0	168	0	0	0	40	0	0	46	0	0	0	84	0	0	25	0	0	0	0	0	0	0	0
J1	13725	5025	245	2921	8193	1827	549	671	1357	793	2244	802	995	1184	233	498	243	337	160	628	0	418	80	0	87	386	544	105	106	103	121	0	0	150	62	102	97	0	222	0	0	136	0	0	121	0	0	0	0	0	0	0	23	115	0	0	0	0	0	0	0	0	0	0
I3	17394	2547	9832	3386	424	1012	1038	2821	622	1446	56	1008	284	247	399	32	468	221	1118	264	903	389	435	0	0	0	0	176	458	116	124	0	0	212	149	0	0	0	35	0	0	102	0	5	0	0	122	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0
I2	11945	7572	1810	4317	2636	378	672	265	164	986	769	299	143	498	262	12	398	352	291	0	0	291	76	428	21	163	0	117	198	220	53	296	0	97	149	0	0	635	24	0	0	0	76	0	0	146	0	0	0	146	0	0	68	0	0	45	130	0	0	16	0	8	0	0
I1	12943	15616	1270	3428	10769	2219	434	238	192	1720	1837	1242	1051	861	324	1714	327	192	221	0	543	264	106	3739	257	0	0	152	0	120	175	0	0	199	68	0	0	0	127	102	0	114	0	46	240	0	0	0	0	0	0	169	0	0	0	0	0	221	0	0	0	0	0	0
H3	13416	1837	11285	2273	204	876	1010	515	0	828	60	120	270	578	407	463	475	134	1269	439	143	153	282	0	0	0	410	0	52	46	72	0	0	167	106	0	0	0	106	0	0	0	0	0	0	0	55	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2	10881	7199	799	5644	3051	1552	919	0	885	576	141	293	370	122	543	344	197	366	392	0	0	159	248	0	21	868	1262	66	461	104	69	364	255	34	131	0	0	113	27	10	0	77	202	0	0	40	0	0	0	8	0	0	25	0	0	8	0	0	0	0	0	0	0	25
H1	6281	7896	1076	1171	6872	3450	207	277	1583	481	474	1565	1392	2027	520	1734	165	487	147	168	0	215	0	570	86	0	103	0	0	44	0	70	0	80	101	0	0	0	49	52	0	71	284	138	59	43	0	0	0	0	0	0	0	0	7	0	0	0	59	0	0	4	0	0
G3	7923	7185	12129	2863	2115	987	799	1299	1396	957	0	225	276	0	372	39	444	84	578	0	563	374	514	0	0	32	0	102	0	152	99	0	0	114	125	0	0	0	35	0	0	0	0	0	0	0	0	0	89	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0
A3	19708	4227	4589	5882	219	1438	1339	1692	1301	976	0	234	982	24	436	95	178	137	307	658	736	130	234	0	0	0	0	59	166	100	57	0	0	73	93	0	0	0	40	30	0	0	0	0	0	0	60	0	30	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0
G2	17813	9656	1680	5977	4633	1124	1378	423	0	757	259	560	210	0	842	75	274	713	524	0	234	330	839	0	0	0	0	146	72	245	223	407	474	85	106	452	12	161	45	22	0	74	0	0	0	84	87	0	68	65	0	101	0	0	0	0	44	66	0	0	0	0	0	8
G1	5205	7502	753	822	3727	1729	129	106	364	280	1291	861	995	463	235	2244	72	312	127	0	0	54	0	170	0	475	113	0	0	0	44	0	0	48	0	126	0	0	123	5	0	0	233	0	0	0	0	0	25	0	0	0	0	0	48	0	0	0	10	0	0	0	0	0
